timestamp,home_goals,away_goals,odd_1,odd_x,odd_2,odd_u,odd_o
2026-08-27 19:04,0,2,1.94,3.3,3.35,1.54,2.08
2026-08-27 19:04,2,0,2.24,3.05,2.9,1.4,2.41
2026-08-27 19:04,0,0,2.57,3.05,2.5,1.4,2.41
2026-08-27 19:04,0,2,2.48,3.05,2.56,1.43,2.33
2026-08-27 19:04,2,4,2.36,2.91,2.84,1.31,2.71
2026-08-27 19:04,1,1,2.56,3.1,2.46,1.45,2.27
2026-08-27 19:04,1,0,2.33,2.99,2.8,1.37,2.51
2026-08-27 19:04,0,1,2.31,3.15,2.71,1.48,2.19
2026-08-27 19:04,0,0,2.26,3.1,2.82,1.45,2.28
2026-08-27 19:04,1,0,2.62,3.15,2.37,1.49,2.18
2026-08-27 19:04,1,0,2.37,3.1,2.64,1.46,2.26
2026-08-27 19:04,0,1,2.22,3.2,2.81,1.52,2.12
2026-08-27 19:04,1,0,2.37,3.2,2.61,1.52,2.13
2026-08-27 19:04,3,1,2.56,3.1,2.46,1.45,2.27
2026-08-27 19:04,1,1,2.12,3.2,2.99,1.51,2.15
2026-08-27 19:04,0,0,2.35,3.2,2.62,1.52,2.11
2026-08-27 19:04,1,0,2.19,3.1,2.96,1.42,2.35
2026-08-27 19:04,3,3,2.27,2.96,2.92,1.34,2.61
2026-08-27 19:04,2,3,2.39,3.05,2.68,1.4,2.41
2026-08-27 19:04,0,0,2.11,3.15,3.05,1.45,2.27
2026-08-27 19:04,1,2,2.19,3.1,2.95,1.42,2.36
2026-08-27 19:04,1,1,2.5,2.99,2.59,1.37,2.51
2026-08-27 19:04,2,0,1.83,3.35,3.65,1.54,2.08
2026-08-27 19:04,1,1,2.36,2.91,2.84,1.31,2.71
2026-08-27 19:04,0,2,2.18,3.0,3.05,1.37,2.51
2026-08-27 19:04,0,0,2.52,2.91,2.64,1.32,2.7
2026-08-27 19:04,0,1,2.27,2.96,2.93,1.34,2.6
2026-08-27 19:04,1,2,2.35,3.2,2.62,1.52,2.11
2026-08-27 19:04,1,2,2.42,2.95,2.72,1.34,2.59
2026-08-27 19:04,2,2,2.54,3.15,2.43,1.51,2.13
2026-08-27 19:04,2,1,2.15,3.25,2.88,1.55,2.06
2026-08-27 19:04,0,2,2.03,3.25,3.1,1.55,2.06
2026-08-27 19:04,2,0,2.28,2.88,3.0,1.29,2.81
2026-08-27 19:04,2,2,2.24,3.05,2.9,1.4,2.41
2026-08-27 19:04,2,2,2.26,3.05,2.88,1.39,2.43
2026-08-27 19:04,1,0,2.3,3.15,2.72,1.49,2.19
2026-08-27 19:04,4,2,2.55,3.1,2.46,1.46,2.26
2026-08-27 19:04,1,0,2.42,2.95,2.72,1.34,2.59
2026-08-27 19:04,0,1,2.81,3.15,2.23,1.49,2.18
2026-08-27 19:04,1,2,2.42,2.95,2.72,1.34,2.59
2026-08-27 19:04,0,2,2.11,3.15,3.05,1.45,2.27
2026-08-27 19:04,1,5,2.81,3.15,2.23,1.49,2.18
2026-08-27 19:04,1,2,2.5,2.99,2.59,1.37,2.51
2026-08-27 19:04,1,1,1.79,3.3,3.85,1.51,2.15
2026-08-27 19:04,1,0,2.35,3.2,2.62,1.52,2.11
2026-08-27 19:04,3,3,1.79,3.3,3.85,1.51,2.15
2026-08-27 19:04,0,0,2.49,2.99,2.6,1.37,2.5
2026-08-27 19:04,2,1,2.73,3.1,2.31,1.46,2.25
2026-08-27 19:04,0,2,2.56,3.1,2.46,1.45,2.27
2026-08-27 19:04,1,0,2.28,2.88,3.0,1.29,2.81
2026-08-27 19:04,4,1,2.1,3.05,3.15,1.4,2.41
2026-08-27 19:04,0,1,2.3,3.2,2.68,1.55,2.07
2026-08-27 19:04,2,0,2.45,3.15,2.54,1.49,2.19
2026-08-27 19:04,2,1,2.68,2.99,2.42,1.37,2.5
2026-08-27 19:04,2,2,2.26,3.05,2.88,1.39,2.43
2026-08-27 19:04,3,2,2.91,3.2,2.15,1.52,2.12
2026-08-27 19:04,2,0,2.16,3.1,2.99,1.43,2.33
2026-08-27 19:04,2,2,2.33,2.99,2.8,1.37,2.51
2026-08-27 19:04,1,3,2.73,3.1,2.31,1.46,2.25
2026-08-27 19:04,0,0,2.04,3.25,3.1,1.55,2.07
2026-08-27 19:04,1,1,2.62,3.15,2.37,1.49,2.18
2026-08-27 19:04,2,1,2.15,3.25,2.88,1.55,2.06
2026-08-27 19:04,0,1,2.5,2.99,2.59,1.37,2.51
2026-08-27 19:04,1,3,2.37,3.1,2.64,1.46,2.26
2026-08-27 19:04,0,1,1.99,3.1,3.4,1.4,2.42
2026-08-27 19:04,1,2,2.29,2.88,2.99,1.29,2.82
2026-08-27 19:04,3,0,1.98,3.25,3.25,1.51,2.13
2026-08-27 19:04,2,3,2.23,3.2,2.8,1.52,2.13
2026-08-27 19:04,3,0,2.37,3.1,2.65,1.46,2.25
2026-08-27 19:04,2,0,2.26,2.97,2.94,1.34,2.59
2026-08-27 19:04,1,1,2.42,3.2,2.52,1.56,2.05
2026-08-27 19:04,1,3,2.45,3.15,2.54,1.49,2.19
